Sample_ID,mass (g),length (mm),ppm/mass_Na,ppm/mass_Mg,ppm/mass_K,ppm/mass_Ca,ppm/mass_Al,ppm/mass_Mn,ppm/mass_Fe,ppm/mass_Ni,ppm/mass_Cu,ppm/mass_Zn,ppm/mass_Cr,ppm/mass_Pb,ppm/mass_Ba,ppm/mass_Co,ppm/mass_Sr,ppm/mass_Cd,ppm/mass_As
SAMPLE 2,0.0003,10.32,10288.76,2063.74,405.26,7168.26,585.02,22.68,350.84,36.78,25.02,785.86,26.12,-20.08,16.78,8.42,71.54,6.64,2.74
SAMPLE 3,0.0003,3.76,10837.04,2929.6,47.52,13976,1033.46,17.64,763.56,29.86,14.72,561.12,17.62,-26.76,6.06,2.78,121.08,0.56,24.4
SAMPLE 4,0.0005,2,7006.848,810.012,42.888,3393.156,328.872,3.408,186.852,19.62,5.412,206.16,6.744,-17.352,1.116,0.984,27.324,0.048,8.52
SAMPLE 6,0.0003,5.1,14082.14,3492.48,1552.26,16187.36,952.32,16.4,731.04,34.18,44.38,2602.2,4.22,-13.36,3.14,-1.04,114.98,0.02,-7.8
SAMPLE 7,0.0004,2.1,9834.36,1242.54,700.095,4828.365,458.88,4.38,272.34,17.16,7.71,333.195,11.22,-9.15,0.96,1.02,40.215,-0.675,-1.14
SAMPLE 8,0.0006,3.3,9332.88,1344.8,625.19,2998.94,290.13,2.48,177.45,15.01,18.67,658.17,6.15,-11.54,0.25,1.56,22.83,-0.2,7.21
SAMPLE 9,0.0007,3,7442.742857,1557.411429,-81.62571429,6513.308571,450.78,7.645714286,355.7142857,10.59428571,19.39714286,500.6228571,3.642857143,-11.12571429,1.131428571,1.157142857,53.7,-0.368571429,-7.165714286
SAMPLE 10,0.0012,3.6,5986.465,1281.88,214.825,4622.195,275.325,4.13,233.045,8.1,16.5,578.08,3.97,-6.255,0.765,0.4,38.78,-0.105,0.415
SAMPLE 11,0.0012,3.5,6602.565,1185.845,230.785,3719.255,233.34,3.795,199.875,6.51,15.225,388.645,1.725,-9.375,0.57,-0.015,33.89,0.12,0.595
SAMPLE 12,0.0021,4.8,6785.851429,981.6028571,397.4885714,2030.262857,126.0457143,2.188571429,99.59428571,3.7,13.91142857,434.4,2.562857143,-1.24,0.362857143,0.177142857,16.88285714,-0.014285714,2.134285714
SAMPLE 13,0.003,6.4,7561.664,969.492,358.956,1943.326,133.034,2.192,126.354,2.906,14.844,314.264,3.086,-1.964,0.27,-0.038,19.138,0.038,4.444
SAMPLE 14,0.0024,4,6512.5275,726.02,387.9175,1361.325,106.4375,1.6025,79.2325,2.97,11.5025,241.6575,2.4775,-2.375,0.21,0.0625,12.9075,-0.12,4.525
SAMPLE 15,0.0017,2.9,6880.090588,687.66,318.5788235,1035.197647,99.94941176,0.914117647,61.93411765,4.309411765,11.31529412,273.2117647,2.890588235,-5.537647059,0.236470588,0.049411765,10.11176471,-0.116470588,-0.472941176
SAMPLE 16,0.0058,7.5,6214.276552,592.89,371.2768966,822.6755172,51.27413793,0.790344828,39.62689655,1.277586207,11.77241379,208.472069,0.692068966,-0.864827586,0.117931034,0.06,7.988275862,0.015517241,0.846206897
SAMPLE 17,0.0034,4.1,6415.782353,537.1341176,277.5458824,1021.314706,71.16,0.993529412,48.96352941,1.662352941,12.26294118,373.7435294,0.972352941,-2.511176471,0.15,0.315882353,7.618235294,-0.021176471,2.047058824
SAMPLE 18,0.0053,5.4,6145.62,463.5973585,336.1630189,879.3667925,46.81811321,0.646415094,35.23924528,1.297358491,12.50830189,419.22,1.32,-1.56,0.110943396,0.074716981,5.960377358,0.009056604,2.063773585
SAMPLE 19,0.0063,6.1,6032.389524,408.4447619,349.4447619,903.5990476,64.12857143,1.126666667,53.89809524,1.512380952,12.48952381,278.8438095,0.742857143,-1.153333333,0.197142857,0.085714286,7.306666667,-0.006666667,0.705714286
SAMPLE 20,0.0222,18.5,2524.388108,145.2162162,459.0202703,307.4956757,14.21594595,0.344864865,25.72486486,0.33972973,10.98486486,207.3202703,0.437027027,-0.177837838,0.062972973,-0.002162162,2.428648649,-0.00972973,1.76
