microns,Back,Si,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Kr,Rb,Sr,HgL,,Compton,elastic,sum,Flux0,Flux1
0,4094.875,-30153.23,1911.328,-3372.562,4149.096,-643.7321,295.1597,-11.43322,-20.72422,33.84407,2.346943,315.9575,1.201044,16.14336,375.7796,2.884613,4.58804,-1.853812,-0.6272503,6.426673,10.07646,,2090683,398900.4,-651.5179,   3.456649E+08,   2.155462E+08
        10.00000000000000,4739.112,-33591.6,-4521.991,-1935.871,2569.872,-560.5978,62.43275,-10.5347,10.6635,8.070055,-8.216422,310.6053,9.134083,6.483627,354.8174,-0.8094437,7.83271,-2.152909,-0.6125582,6.543606,-1.410622,,1953708,432751.3,-833.031,   3.456648E+08,   2.150425E+08
        20.00000000000000,4496.216,1742.609,-1872.295,-1570.398,2232.214,-153.74,99.05439,-0.6801821,-10.90775,27.80367,-0.7717187,341.6996,4.150305,12.68956,355.0244,0.606373,3.388149,-2.663458,-0.7400563,9.171334,3.724738,,1939150,427706.5,-959.6536,   3.456648E+08,   2.148403E+08
        30.00000000000000,4678.36,-34457.65,-2617.558,-1780.926,2670.646,-212.6919,231.1906,15.75369,-13.15761,0.4389116,2.208533,339.3129,7.302815,10.15745,355.9963,-1.894525,7.940802,-0.4855263,-0.5590616,8.189201,5.117197,,1978857,447446.7,-875.1727,   3.456648E+08,   2.153160E+08
        40.00000000000000,5238.715,-48612.53,-3397.828,-1649.271,2017.959,-288.2968,218.1568,13.83565,-23.3026,9.563087,-0.07374491,346.719,3.394712,9.003012,399.9759,-0.5992902,0.7364682,-2.895548,-0.5397303,9.20981,10.04235,,2027688,418386.3,-1053.45,   3.456648E+08,   2.147807E+08
        50.00000000000000,5065.298,-20523.11,-4449.6,-1404.553,2071.421,-336.3642,169.3251,-7.65873,-14.47254,15.70996,10.13312,323.7422,2.072736,15.10035,391.7127,1.378639,1.049394,-1.757901,0.7570459,6.652118,8.880347,,2019491,421269.9,-853.6744,   3.456648E+08,   2.151192E+08
        60.00000000000000,4970.173,32239.37,-3778.127,-2202.365,1744.466,-352.4532,143.4705,-32.80574,-10.10379,2.805958,-3.74437,393.7606,-7.729194,15.82588,384.7934,-0.2305592,2.012511,1.358208,1.996254,2.199423,3.880728,,2076724,416528.7,-1035.365,   3.456648E+08,   2.150516E+08
        70.00000000000000,4801.597,-20751.55,-3651.533,-1713.061,2802.871,-397.9951,204.2726,-28.41162,12.33349,-4.554669,1.905561,388.2336,2.665261,10.22016,386.5958,0.5702558,4.473063,-0.6234663,-2.03932,4.451508,-1.078422,,2060936,478464.6,-578.7229,   3.456648E+08,   2.149051E+08
        80.00000000000000,4804.489,-16442.75,-2083.153,-3248.43,1944.899,-482.6794,179.3132,-10.97652,13.1502,6.605342,13.40093,393.1599,-1.955076,14.44587,385.6996,2.713075,4.378199,-2.540764,1.475337,5.772656,2.962505,,2157686,480826.9,-744.4299,   3.456648E+08,   2.153323E+08
        90.00000000000000,5618.505,-729.4332,-4209.301,-3796.149,3370.944,-481.487,306.7761,3.352681,-6.892361,7.27102,-10.38893,388.4644,-1.310699,1.775261,392.0495,0.698986,-0.3380582,-2.210105,-2.771152,7.091574,9.209069,,2083331,459368.3,-1070.091,   3.456648E+08,   2.153475E+08
